Short Name,Dataset,Root request,Root request status,Root request priority,Root request done events,Root request total events,Root request output,MiniAOD status,MiniAOD priority,MiniAOD done events,MiniAOD total events,MiniAOD output,NanoAOD status,NanoAOD priority,NanoAOD done events,NanoAOD total events,NanoAOD output,Chained request,Interested PWGs,Tags
ADDGravTo2G,ADDGravTo2G_NegInt-0_LambdaT-10000_M-1000To2000_TuneCP5_13p6TeV_pythia8,EXO-Run3Summer23BPixGS-00076,submitted,85000,-1,50000,,submitted,90004,0,50000,,submitted,85000,0,50000,,EXO-chain_Run3Summer23BPixGS_flowRun3Summer23BPixDRPremix_flowRun3Summer23BPixMiniAODv4_flowRun3Summer23BPixNanoAODv13-00067,EXO,
ADDGravTo2G,ADDGravTo2G_NegInt-0_LambdaT-10000_M-1000To2000_TuneCP5_13p6TeV_pythia8,EXO-Run3Summer23GS-00076,submitted,90004,-1,100000,,submitted,90004,0,100000,/ADDGravTo2G_NegInt-0_LambdaT-10000_M-1000To2000_TuneCP5_13p6TeV_pythia8/Run3Summer23MiniAODv4-130X_mcRun3_2023_realistic_v15-v2/MINIAODSIM,submitted,90004,0,100000,/ADDGravTo2G_NegInt-0_LambdaT-10000_M-1000To2000_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv13-133X_mcRun3_2023_realistic_ForNanov13_v1-v2/NANOAODSIM,EXO-chain_Run3Summer23GS_flowRun3Summer23DRPremix_flowRun3Summer23MiniAODv4_flowRun3Summer23NanoAODv13-00067,EXO,
ADDGravTo2G,ADDGravTo2G_NegInt-0_LambdaT-10000_M-2000To4000_TuneCP5_13p6TeV_pythia8,EXO-Run3Summer23BPixGS-00077,submitted,90004,-1,50000,,submitted,90004,0,50000,/ADDGravTo2G_NegInt-0_LambdaT-10000_M-2000To4000_TuneCP5_13p6TeV_pythia8/Run3Summer23BPixMiniAODv4-130X_mcRun3_2023_realistic_postBPix_v5-v2/MINIAODSIM,submitted,90004,0,50000,/ADDGravTo2G_NegInt-0_LambdaT-10000_M-2000To4000_TuneCP5_13p6TeV_pythia8/Run3Summer23BPixNanoAODv13-133X_mcRun3_2023_realistic_postBPix_ForNanov13_v2-v2/NANOAODSIM,EXO-chain_Run3Summer23BPixGS_flowRun3Summer23BPixDRPremix_flowRun3Summer23BPixMiniAODv4_flowRun3Summer23BPixNanoAODv13-00068,EXO,
ADDGravTo2G,ADDGravTo2G_NegInt-0_LambdaT-10000_M-2000To4000_TuneCP5_13p6TeV_pythia8,EXO-Run3Summer23GS-00077,submitted,90004,-1,100000,,submitted,90004,0,100000,/ADDGravTo2G_NegInt-0_LambdaT-10000_M-2000To4000_TuneCP5_13p6TeV_pythia8/Run3Summer23MiniAODv4-130X_mcRun3_2023_realistic_v15-v2/MINIAODSIM,submitted,90004,0,100000,/ADDGravTo2G_NegInt-0_LambdaT-10000_M-2000To4000_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv13-133X_mcRun3_2023_realistic_ForNanov13_v1-v2/NANOAODSIM,EXO-chain_Run3Summer23GS_flowRun3Summer23DRPremix_flowRun3Summer23MiniAODv4_flowRun3Summer23NanoAODv13-00068,EXO,
ADDGravTo2G,ADDGravTo2G_NegInt-0_LambdaT-10000_M-4000To10000_TuneCP5_13p6TeV_pythia8,EXO-Run3Summer23BPixGS-00078,submitted,90004,-1,50000,,submitted,90004,0,50000,/ADDGravTo2G_NegInt-0_LambdaT-10000_M-4000To10000_TuneCP5_13p6TeV_pythia8/Run3Summer23BPixMiniAODv4-130X_mcRun3_2023_realistic_postBPix_v5-v2/MINIAODSIM,submitted,90004,0,50000,/ADDGravTo2G_NegInt-0_LambdaT-10000_M-4000To10000_TuneCP5_13p6TeV_pythia8/Run3Summer23BPixNanoAODv13-133X_mcRun3_2023_realistic_postBPix_ForNanov13_v2-v2/NANOAODSIM,EXO-chain_Run3Summer23BPixGS_flowRun3Summer23BPixDRPremix_flowRun3Summer23BPixMiniAODv4_flowRun3Summer23BPixNanoAODv13-00069,EXO,
ADDGravTo2G,ADDGravTo2G_NegInt-0_LambdaT-10000_M-4000To10000_TuneCP5_13p6TeV_pythia8,EXO-Run3Summer23GS-00078,submitted,90004,-1,100000,,submitted,90004,0,100000,/ADDGravTo2G_NegInt-0_LambdaT-10000_M-4000To10000_TuneCP5_13p6TeV_pythia8/Run3Summer23MiniAODv4-130X_mcRun3_2023_realistic_v15-v2/MINIAODSIM,submitted,90004,0,100000,/ADDGravTo2G_NegInt-0_LambdaT-10000_M-4000To10000_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv13-133X_mcRun3_2023_realistic_ForNanov13_v1-v2/NANOAODSIM,EXO-chain_Run3Summer23GS_flowRun3Summer23DRPremix_flowRun3Summer23MiniAODv4_flowRun3Summer23NanoAODv13-00069,EXO,
ADDGravTo2G,ADDGravTo2G_NegInt-0_LambdaT-10000_M-500To1000_TuneCP5_13p6TeV_pythia8,EXO-Run3Summer23BPixGS-00079,submitted,85000,-1,50000,,submitted,90004,0,50000,,submitted,85000,0,50000,,EXO-chain_Run3Summer23BPixGS_flowRun3Summer23BPixDRPremix_flowRun3Summer23BPixMiniAODv4_flowRun3Summer23BPixNanoAODv13-00070,EXO,
ADDGravTo2G,ADDGravTo2G_NegInt-0_LambdaT-10000_M-500To1000_TuneCP5_13p6TeV_pythia8,EXO-Run3Summer23GS-00079,submitted,90004,-1,100000,,submitted,90004,0,100000,/ADDGravTo2G_NegInt-0_LambdaT-10000_M-500To1000_TuneCP5_13p6TeV_pythia8/Run3Summer23MiniAODv4-130X_mcRun3_2023_realistic_v15-v2/MINIAODSIM,submitted,90004,0,100000,/ADDGravTo2G_NegInt-0_LambdaT-10000_M-500To1000_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv13-133X_mcRun3_2023_realistic_ForNanov13_v1-v2/NANOAODSIM,EXO-chain_Run3Summer23GS_flowRun3Summer23DRPremix_flowRun3Summer23MiniAODv4_flowRun3Summer23NanoAODv13-00070,EXO,
ADDGravTo2G,ADDGravTo2G_NegInt-0_LambdaT-11000_M-1000To2000_TuneCP5_13p6TeV_pythia8,EXO-Run3Summer23BPixGS-00080,submitted,90004,-1,50000,,submitted,90004,0,50000,/ADDGravTo2G_NegInt-0_LambdaT-11000_M-1000To2000_TuneCP5_13p6TeV_pythia8/Run3Summer23BPixMiniAODv4-130X_mcRun3_2023_realistic_postBPix_v5-v2/MINIAODSIM,submitted,90004,0,50000,/ADDGravTo2G_NegInt-0_LambdaT-11000_M-1000To2000_TuneCP5_13p6TeV_pythia8/Run3Summer23BPixNanoAODv13-133X_mcRun3_2023_realistic_postBPix_ForNanov13_v2-v2/NANOAODSIM,EXO-chain_Run3Summer23BPixGS_flowRun3Summer23BPixDRPremix_flowRun3Summer23BPixMiniAODv4_flowRun3Summer23BPixNanoAODv13-00071,EXO,
ADDGravTo2G,ADDGravTo2G_NegInt-0_LambdaT-11000_M-1000To2000_TuneCP5_13p6TeV_pythia8,EXO-Run3Summer23GS-00080,submitted,90004,-1,100000,,submitted,90004,0,100000,/ADDGravTo2G_NegInt-0_LambdaT-11000_M-1000To2000_TuneCP5_13p6TeV_pythia8/Run3Summer23MiniAODv4-130X_mcRun3_2023_realistic_v15-v2/MINIAODSIM,submitted,90004,0,100000,/ADDGravTo2G_NegInt-0_LambdaT-11000_M-1000To2000_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv13-133X_mcRun3_2023_realistic_ForNanov13_v1-v2/NANOAODSIM,EXO-chain_Run3Summer23GS_flowRun3Summer23DRPremix_flowRun3Summer23MiniAODv4_flowRun3Summer23NanoAODv13-00071,EXO,
