Short Name,Dataset,Root request,Root request status,Root request priority,Root request done events,Root request total events,Root request output,MiniAOD status,MiniAOD priority,MiniAOD done events,MiniAOD total events,MiniAOD output,NanoAOD status,NanoAOD priority,NanoAOD done events,NanoAOD total events,NanoAOD output,Chained request,Interested PWGs,Tags
B0ToDstarTauNu,B0ToDstarTauNu_MuFilter_HardQCD_TuneCP5_13p6TeV-pythia8-evtgen,TSG-Run3Winter24GS-00111,done,200000,978461,1000000,/B0ToDstarTauNu_MuFilter_HardQCD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24GS-133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,200000,978461,1000000,/B0ToDstarTauNu_MuFilter_HardQCD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24MiniAOD-133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,200000,978461,1000000,/B0ToDstarTauNu_MuFilter_HardQCD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24NanoAOD-133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00018,TSG,
B0ToDstarTauNu,B0ToDstarTauNu_MuFilter_HardQCD_TuneCP5_13p6TeV_pythia8-evtgen,TSG-Run3Winter24GS-00232,done,200000,882336,900000,/B0ToDstarTauNu_MuFilter_HardQCD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24GS-N1_133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,200000,882336,900000,/B0ToDstarTauNu_MuFilter_HardQCD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24MiniAOD-N1_133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,200000,882336,900000,/B0ToDstarTauNu_MuFilter_HardQCD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24NanoAOD-N1_133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00133,TSG,
B0ToJpsiK0s,B0ToJpsiK0s_JMM_BMuFilter_DGamma0_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen,TSG-Run3Winter24GS-00134,done,300000,95354,100000,/B0ToJpsiK0s_JMM_BMuFilter_DGamma0_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24GS-133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,300000,95354,100000,/B0ToJpsiK0s_JMM_BMuFilter_DGamma0_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24MiniAOD-133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,300000,95354,100000,/B0ToJpsiK0s_JMM_BMuFilter_DGamma0_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24NanoAOD-133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00041,TSG,
B0ToJpsiK0s,B0ToJpsiK0s_JMM_BMuFilter_DGamma0_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen,TSG-Run3Winter24GS-00225,done,200000,89242,90000,/B0ToJpsiK0s_JMM_BMuFilter_DGamma0_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24GS-133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,200000,89242,90000,/B0ToJpsiK0s_JMM_BMuFilter_DGamma0_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24MiniAOD-133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,200000,89242,90000,/B0ToJpsiK0s_JMM_BMuFilter_DGamma0_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24NanoAOD-133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00126,TSG,
BdToKstarMuMu,BdToKstarMuMu_KplusPiminusFilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen,TSG-Run3Winter24GS-00139,done,300000,100953,100000,/BdToKstarMuMu_KplusPiminusFilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24GS-133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,300000,100953,100000,/BdToKstarMuMu_KplusPiminusFilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24MiniAOD-133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,300000,100953,100000,/BdToKstarMuMu_KplusPiminusFilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24NanoAOD-133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00046,TSG,
BdToKstarMuMu,BdToKstarMuMu_KplusPiminusFilter_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen,TSG-Run3Winter24GS-00236,done,300000,99475,100000,/BdToKstarMuMu_KplusPiminusFilter_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24GS-rndm_133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,300000,99475,100000,/BdToKstarMuMu_KplusPiminusFilter_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24MiniAOD-rndm_133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,300000,99475,100000,/BdToKstarMuMu_KplusPiminusFilter_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24NanoAOD-rndm_133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00137,TSG,
BdToKstarTauMu,BdToKstarTauMu_KplusPiminusFilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen,TSG-Run3Winter24GS-00138,done,300000,97988,100000,/BdToKstarTauMu_KplusPiminusFilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24GS-133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,300000,97988,100000,/BdToKstarTauMu_KplusPiminusFilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24MiniAOD-133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,300000,97988,100000,/BdToKstarTauMu_KplusPiminusFilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24NanoAOD-133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00045,TSG,
BdToKstarTauMu,BdToKstarTauMu_KplusPiminusFilter_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen,TSG-Run3Winter24GS-00231,done,300000,95530,100000,/BdToKstarTauMu_KplusPiminusFilter_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24GS-N1_133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,300000,95530,100000,/BdToKstarTauMu_KplusPiminusFilter_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24MiniAOD-N1_133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,300000,95530,100000,/BdToKstarTauMu_KplusPiminusFilter_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24NanoAOD-N1_133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00132,TSG,
BdToKstarTauTau,BdToKstarTauTau_KplusPiminusFilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen,TSG-Run3Winter24GS-00137,done,300000,98749,100000,/BdToKstarTauTau_KplusPiminusFilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24GS-133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,300000,102227,100000,/BdToKstarTauTau_KplusPiminusFilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24MiniAOD-133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,300000,102227,100000,/BdToKstarTauTau_KplusPiminusFilter_SoftQCDnonD_TuneCP5_13p6TeV-pythia8-evtgen/Run3Winter24NanoAOD-133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00044,TSG,
BdToKstarTauTau,BdToKstarTauTau_KplusPiminusFilter_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen,TSG-Run3Winter24GS-00230,done,200000,101395,100000,/BdToKstarTauTau_KplusPiminusFilter_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24GS-133X_mcRun3_2024_realistic_v7-v2/GEN-SIM,done,200000,101395,100000,/BdToKstarTauTau_KplusPiminusFilter_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24MiniAOD-133X_mcRun3_2024_realistic_v8-v2/MINIAODSIM,done,200000,101395,100000,/BdToKstarTauTau_KplusPiminusFilter_SoftQCDnonD_TuneCP5_13p6TeV_pythia8-evtgen/Run3Winter24NanoAOD-133X_mcRun3_2024_realistic_v8-v2/NANOAODSIM,TSG-chain_Run3Winter24GS_flowRun3Winter24Digi_flowRun3Winter24Reco_flowRun3Winter24MiniAOD_flowRun3Winter24NanoAOD-00131,TSG,
